hp_number,dealer_type,is_vat_registered,tax_status,company_type,company_status
510009517,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009525,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009533,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510009541,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009558,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009566,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009574,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009582,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009590,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009608,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510009616,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009624,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009632,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009640,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009657,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009665,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009673,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009681,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009699,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009707,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510009715,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009723,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009731,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009749,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009756,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009772,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009798,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009806,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009814,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009822,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009830,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009848,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009855,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009863,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510009871,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009889,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009897,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009905,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009913,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009921,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009939,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510009947,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009954,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510009962,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510009970,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510009988,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510009996,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510010002,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010010,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510010028,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510010036,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010044,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010051,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010069,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010077,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010085,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010093,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010101,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510010119,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010135,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010143,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010150,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510010168,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010176,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010184,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010192,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010200,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510010218,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010226,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010234,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010242,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010259,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010267,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010275,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010283,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510010291,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510010309,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510010317,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010325,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510010333,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
